date,gdp
3/1/2015,376071
6/1/2015,371294
9/1/2015,367625
12/1/2015,369521
3/1/2016,379026
6/1/2016,380452
9/1/2016,382285
12/1/2016,383727
3/1/2017,385870
6/1/2017,386945
9/1/2017,393308
12/1/2017,394347
3/1/2018,395365
6/1/2018,398167
9/1/2018,401787
12/1/2018,404410
3/1/2019,405172
6/1/2019,406856
9/1/2019,408132
12/1/2019,408515
3/1/2020,406098
6/1/2020,338323
9/1/2020,370658
12/1/2020,378343
3/1/2021,381323
6/1/2021,391979
9/1/2021,395905
12/1/2021,409411
3/1/2022,410800
6/1/2022,417863
9/1/2022,425874
12/1/2022,425732
3/1/2023,428412
6/1/2023,428126
9/1/2023,436638
12/1/2023,433240
3/1/2024,433003
6/1/2024,428684
9/1/2024,424159
12/1/2024,431334
3/1/2025,436021
6/1/2025,437133
9/1/2025,438665
12/1/2025,406765
